id;name
10;graffio
68;attacco rapido
92;sfuriate
18;schianto
201;sbigoattacco
156;granvoce
128;introforza
44;geloraggio
57;solarraggio
61;fulmine
65;fossa
134;palla ombra
146;breccia
40;lanciafiamme
141;facciata
99;furto
274;coro
275;echeggiavoce
251;raggioscossa
226;ombrartigli
285;nemesi
196;retromarcia
148;forzasegreta
345;crescipugno
13;taglio
43;surf
182;supplica
33;sdoppiatore
125;codacciaio
200;ultimascelta
123;inseguimento
97;lacerazione
208;idrondata
7;fuocopugno
142;centripugno
8;gelopugno
147;privazione
187;ondashock
101;russare
9;tuonopugno
139;baraonda
188;idropulsar
