id;name
10;graffio
92;sfuriate
194;fintoattacco
97;lacerazione
272;acidobomba
40;lanciafiamme
207;nottesferza
327;rutto
91;esplosione
264;velenoshock
128;introforza
49;iper raggio
65;fossa
134;palla ombra
106;fangobomba
76;fuocobomba
141;facciata
99;furto
274;coro
283;bruciatutto
226;ombrartigli
198;rivincita
222;gigaimpatto
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
13;taglio
53;forza
162;sgomento
131;sgranocchio
33;sdoppiatore
267;pirolancio
273;ripicca
125;codacciaio
335;carineria
123;inseguimento
73;smog
101;russare
